feature,pubchem_bit,permutation_importance_mean,permutation_importance_std
PubchemFP487,487,0.00028162934814475183,0.0002957479253538512
PubchemFP392,392,0.000279645484472657,0.0010067049247734184
PubchemFP676,676,0.0002785892054045336,5.7660850230136275e-05
PubchemFP367,367,0.00027644414864422815,5.366090469867687e-05
PubchemFP479,479,0.00027600256521612685,8.171829447598676e-05
PubchemFP538,538,0.00027366890572734227,0.00034906701093011206
PubchemFP460,460,0.00026591461075402555,0.0001016831869458804
PubchemFP700,700,0.00026427071717392,6.242524449299096e-05
PubchemFP152,152,0.00025957240759487686,0.00013751641561331535
PubchemFP358,358,0.00025888079338380886,0.00022391995219069608
PubchemFP149,149,0.0002583443061907609,0.0007548538449080533
PubchemFP293,293,0.0002572660943494509,0.00031161164203834365
PubchemFP645,645,0.00025691171069917027,0.0001423481467420245
PubchemFP404,404,0.0002509328356930185,0.00017068542298038762
PubchemFP685,685,0.0002482840571691902,0.00044199425681999954
PubchemFP43,43,0.0002478039610293803,0.00025711703909024126
PubchemFP671,671,0.00024501856914903585,0.0005208740297025235
PubchemFP387,387,0.00024306053672478177,0.0002475594070539761
PubchemFP654,654,0.00023093131803425537,0.00018379734504844056
PubchemFP554,554,0.00021296399489968422,0.00023299112916163182
PubchemFP583,583,0.00021088643050126699,0.0001504074095606034
PubchemFP492,492,0.00021071508714285426,0.00012105411751706689
PubchemFP563,563,0.00020327500069398097,5.6568147836751336e-05
PubchemFP12,12,0.00019971967795300304,0.0009991008607629847
PubchemFP188,188,0.000197030613503546,0.00047451772664508783
PubchemFP343,343,0.0001953148764178625,3.1502554736976645e-06
PubchemFP737,737,0.00019469712249396974,0.0006074600253755977
PubchemFP544,544,0.0001921778909940941,8.233439017150492e-05
PubchemFP474,474,0.00018991471102332015,8.192753877447552e-05
PubchemFP194,194,0.00018986115665813318,6.94639670186724e-06
PubchemFP605,605,0.00018971833420072803,5.487922095359056e-05
PubchemFP740,740,0.00018891020253546386,2.2361016250194185e-05
PubchemFP565,565,0.00018351561610768785,0.00016175778578153975
PubchemFP327,327,0.00018052222387032746,0.00029941721560269554
PubchemFP508,508,0.00017956414846718172,0.00019596570826247952
PubchemFP258,258,0.00017767187842074872,0.0004868326813095915
PubchemFP647,647,0.00017391392769107173,0.0002585605334827285
PubchemFP643,643,0.00017226617190350125,0.0007180428912053704
PubchemFP494,494,0.0001722540326184241,0.00030968395134319004
PubchemFP499,499,0.0001720305466757499,8.81007955636784e-05
PubchemFP356,356,0.00016986759371336868,3.686756441973882e-05
PubchemFP495,495,0.00016623724749538217,0.0001214187479512462
PubchemFP144,144,0.00016303526526650902,0.0008235803467202643
PubchemFP330,330,0.0001609734570438448,0.0001902618160256049
PubchemFP638,638,0.00016053786360646914,0.0010619249873278656
PubchemFP531,531,0.00015855956308724606,0.00023922622700276185
PubchemFP709,709,0.00015577823652634937,0.00017578475497050103
PubchemFP630,630,0.00014963905785402297,2.9233278143839472e-05
PubchemFP763,763,0.0001450122191218317,2.7452221046241333e-05
PubchemFP439,439,0.00014335382865080515,0.0003769614438639441
PubchemFP466,466,0.0001427673993505074,0.0001894095980487354
PubchemFP773,773,0.00014042163086464,3.136507961070029e-05
PubchemFP187,187,0.00012746713075267868,0.00014159058241611046
PubchemFP419,419,0.0001259121508496497,0.00015794298146099836
PubchemFP526,526,0.00012329341295229667,5.963414164352374e-05
PubchemFP675,675,0.00012151280707493051,0.00017826678971344473
PubchemFP707,707,0.00011954393812846353,0.00038207456218559526
PubchemFP672,672,0.000118977894132688,0.00036378469895533895
PubchemFP521,521,0.00011762924542914055,0.0005458288416076302
PubchemFP22,22,0.00010797721654943748,1.986505692147157e-06
PubchemFP555,555,0.0001046482017471817,0.0003664572993009567
PubchemFP180,180,0.00010377188538830406,0.0007623667571426529
PubchemFP532,532,9.955504058397623e-05,0.00033994463699699385
PubchemFP610,610,9.938056301936893e-05,9.308518654055978e-05
PubchemFP819,819,8.846263109891783e-05,0.0004935980502311043
PubchemFP395,395,8.776015476869015e-05,0.00028769681580005196
